,average,standard deviation,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
c,31%,36%,0.2232949605,394.8275298,0.3092,0.3565,0.1061,1,2.87E-07
c++,34%,38%,0.1459210283,370.8648855,0.3434,0.3754,0.1263,1,2.87E-07
java,58%,43%,0.1386656044,569.2035666,0.5814,0.4263,0.7858,1,5.85E-07
c#,59%,44%,0.08294048759,222.9710454,0.5914,0.4404,0.8623,1,5.81E-07
javascript,49%,42%,0.07049747899,1471.311476,0.4913,0.4162,0.4773,1,1.09E-06
python,43%,44%,0.06658261378,885.5703839,0.433,0.4388,0.1905,1,7.52E-07
html,12%,20%,0.04653888353,325.513279,0.1162,0.203,0.029,1,2.81E-07
php,59%,44%,0.03755460188,460.1768941,0.587,0.4395,0.8357,1,4.61E-07
go,72%,40%,0.02032383314,332.6893342,0.7217,0.3954,0.9695,1,8.67E-06
ruby,37%,44%,0.01953117335,467.0607784,0.366,0.4366,0.0351,1,2.74E-07
typescript,32%,36%,0.01291208011,104.7132574,0.3183,0.3633,0.1188,1,1.12E-05
objective-c,28%,40%,0.01114138897,204.0918339,0.2803,0.4019,0.0147,1,1.35E-06
jupyter,32%,39%,0.00922726465,25.43788824,0.322,0.3888,0.1054,0.9999673941,7.38E-05
assembly,5%,15%,0.007469708708,11.05345592,0.0502,0.1479,0.0049,1,3.24E-06
tsql,3%,12%,0.006849467564,8.163919467,0.0332,0.1198,0.0028,1,3.39E-06
css,9%,17%,0.006759434535,184.6349671,0.0886,0.1743,0.0214,1,1.77E-06
scala,45%,44%,0.006496913681,74.54365797,0.4545,0.4424,0.2638,1,1.55E-06
shell,6%,20%,0.006230593007,198.6560165,0.0615,0.1958,0.0035,1,5.23E-07
perl,7%,19%,0.005660822141,28.56515583,0.0667,0.188,0.0036,1,1.25E-06
llvm,4%,11%,0.004932994054,0.9328531623,0.0373,0.106,0.0035,0.4926380402,6.62E-06
ocaml,33%,41%,0.00389909691,10.21328914,0.3295,0.4115,0.0368,0.993410294,3.77E-06
roff,2%,8%,0.003820068528,8.262321431,0.0244,0.0803,0.0034,0.8656816782,1.38E-07
makefile,2%,8%,0.00355871348,31.70811946,0.0179,0.0809,0.0035,1,6.79E-07
rust,58%,46%,0.003321245298,55.24839546,0.5755,0.4613,0.8934,1,1.93E-06
mathemat,14%,30%,0.003277029621,1.917839431,0.137,0.2988,0.0033,1,1.95E-06
kotlin,28%,36%,0.003182947659,28.51678916,0.2823,0.3564,0.1207,1,1.41E-05
visual basic,2%,8%,0.002536424872,0.4543578933,0.0207,0.0757,0.0011,0.3576761243,4.28E-06
lua,11%,25%,0.002520142145,22.47527937,0.1135,0.2489,0.0057,1,2.88E-07
groovy,8%,22%,0.002083179899,12.17627033,0.0828,0.219,0.0031,1,3.32E-06
cmake,2%,5%,0.002009225723,10.33400847,0.0203,0.0502,0.0099,0.9938200511,4.09E-06
fortran,3%,10%,0.001978125383,0.6309327855,0.0252,0.0984,0.001,0.4951059069,7.94E-06
tex,14%,30%,0.001767749594,18.34779975,0.1411,0.2965,0.0076,1,7.36E-07
swift,48%,43%,0.00174121476,98.38039418,0.4846,0.4331,0.4471,1,9.60E-07
f#,16%,32%,0.001423628385,5.469428394,0.1563,0.3156,0.0036,0.9983353571,2.79E-06
vim script,45%,46%,0.001366901223,84.64773891,0.4503,0.4559,0.2506,1,1.08E-05
nix,4%,16%,0.0013420945,1.248443427,0.0367,0.1636,0.0009,0.9527071232,1.55E-05
common lisp,24%,39%,0.001316453442,6.532802187,0.242,0.388,0.0041,0.9978322937,4.42E-06
erlang,35%,44%,0.001312397339,16.40533355,0.349,0.4389,0.0301,1,3.41E-06
haskell,44%,44%,0.001250292445,29.02510337,0.4398,0.4413,0.2214,1,3.58E-06
powershell,4%,17%,0.001049775216,12.12425991,0.0436,0.1709,0.0015,1,2.36E-06
d,15%,35%,0.0009722074837,2.899645734,0.1526,0.3492,0.0016,0.9740423522,1.82E-06
scheme,7%,19%,0.000925594884,2.635459295,0.0712,0.187,0.0023,0.8045210102,2.64E-06
xslt,1%,5%,0.000880149602,2.060617543,0.013,0.0491,0.0016,0.4987593869,3.61E-06
m4,2%,3%,0.0008588877866,5.070900939,0.018,0.0332,0.0077,0.2835510488,3.07E-06
clojure,54%,46%,0.000823647158,51.28761136,0.5399,0.4556,0.754,1,1.63E-06
racket,19%,34%,0.0007933724014,1.52773171,0.191,0.3358,0.009,0.8983072606,0.0002306092966
