RepoId,LangNum,AuthorNum,Age,CmmtNum,Vulb1Num,Vulb2Num,Vulb3Num,Vulb4Num,C,CPP,RUBY,JAVA,SHELL,PHP,CSHP,PYTHON,JAVASCRIPT,TYPESCRIPT
28457823,4,4386,81,319,7,2,0,86,0,0,0,0,1,0,0,0,1,0
11730342,6,320,51,60,0,0,5,1,0,0,0,0,1,0,0,0,1,1
10270250,10,1585,87,154,2,0,2,23,1,1,0,0,1,0,0,1,1,1
2126244,5,1324,112,177,7,0,0,40,0,0,0,0,1,0,0,0,1,0
291137,6,1890,132,43,2,0,0,2,0,0,1,0,1,0,0,1,0,0
6498492,1,503,93,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0
943149,1,134,116,36,2,0,9,1,0,0,0,0,0,0,0,0,1,0
2325298,20,7398,906,220,0,0,0,0,1,1,0,0,1,0,0,1,0,0
29028775,17,2712,66,311,0,0,1,6,1,1,1,1,1,0,0,1,1,0
9384267,13,1101,89,267,17,0,14,66,1,1,0,0,1,0,0,1,1,1
21289110,2,403,74,20,0,0,0,6,0,0,0,0,0,0,0,1,0,0
23088740,3,260,71,13,1,0,1,4,0,0,0,0,0,0,0,0,1,1
23096959,13,1819,584,75,0,0,0,4,1,1,0,0,1,0,0,1,1,0
27193779,13,3258,139,224,54,0,11,15,1,1,0,0,1,0,0,1,1,0
2561582,2,116,106,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20580498,11,3230,74,1257,2,0,11,59,1,0,1,0,1,0,0,1,0,0
3470471,2,8,29,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1039520,4,878,146,121,1,0,0,9,0,0,0,0,1,0,0,1,0,0
460078,5,1833,615,14,2,1,1,15,0,0,0,0,1,1,0,0,1,0
20929025,5,588,73,421,9,0,15,74,0,0,0,0,1,0,0,0,1,1
1863329,2,656,111,56,2,2,0,1,0,0,0,0,0,1,0,0,0,0
24195339,10,1323,71,259,1,0,0,14,0,0,0,0,1,1,0,1,1,1
7691631,7,2280,91,426,0,0,0,14,1,0,0,0,1,0,0,0,0,0
22790488,6,254,72,34,0,0,0,7,0,0,0,1,1,0,0,0,1,0
23083156,4,1980,72,170,4,0,2,32,0,0,0,0,1,0,0,0,1,1
167174,4,364,174,37,1,0,0,3,0,0,0,0,0,1,0,0,1,0
3678731,5,700,101,114,4,0,4,18,0,0,0,0,0,0,0,0,1,0
21540759,2,1410,73,47,0,0,1,4,0,0,0,0,0,0,0,0,0,0
3228505,7,553,108,348,359,0,3,33,0,0,0,0,1,0,0,0,1,0
1861458,3,310,109,24,1,0,1,5,0,0,0,0,0,0,0,0,1,0
557980,1,177,111,15,0,0,0,2,0,0,0,0,0,0,0,0,1,0
596892,3,687,125,31,0,1,0,7,0,0,0,0,0,0,0,1,0,0
9309093,3,233,67,99,2,0,6,35,0,0,0,0,0,0,0,0,1,0
237159,3,282,134,41,4,0,4,2,0,0,0,0,1,0,0,0,1,0
8843683,3,365,89,36,1,0,0,12,0,0,0,0,1,0,0,0,1,0
4164482,7,2245,183,156,0,0,2,1,0,0,0,0,1,0,0,1,1,0
507775,14,1625,127,423,18,0,5,39,0,0,0,1,1,0,0,1,0,0
7600409,3,84,91,15,1,0,1,5,0,0,0,0,1,0,1,0,1,0
3544424,4,109,102,12,0,0,0,3,0,0,1,0,1,0,0,1,0,0
18408635,1,132,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14747598,3,74,79,10,0,0,1,1,0,0,0,0,0,0,0,0,1,0
10744183,14,443,86,127,3,0,7,3,1,1,0,0,1,1,0,1,1,0
